订单号,下单时间,用户ID,商品类别,订单金额,支付方式,物流状态,是否优惠券,收货城市
ORD_00033,2024-06-02 08:00,USER_0032,食品,370,信用卡,待发货,是,广州
ORD_00034,2024-06-02 09:00,USER_0033,家居,380,花呗,已取消,否,深圳
ORD_00035,2024-06-02 10:00,USER_0034,美妆,390,货到付款,退货中,否,杭州
ORD_00036,2024-06-02 11:00,USER_0035,数码,400,支付宝,已签收,否,北京
ORD_00037,2024-06-02 12:00,USER_0036,服饰,410,微信支付,运输中,是,上海
ORD_00038,2024-06-02 13:00,USER_0037,食品,420,信用卡,待发货,否,广州
ORD_00039,2024-06-02 14:00,USER_0038,家居,430,花呗,已取消,否,深圳
ORD_00040,2024-06-02 15:00,USER_0039,美妆,440,货到付款,退货中,否,杭州
ORD_00041,2024-06-02 16:00,USER_0040,数码,450,支付宝,已签收,是,北京
ORD_00042,2024-06-02 17:00,USER_0041,服饰,460,微信支付,运输中,否,上海
ORD_00043,2024-06-02 18:00,USER_0042,食品,470,信用卡,待发货,否,广州
ORD_00044,2024-06-02 19:00,USER_0043,家居,480,花呗,已取消,否,深圳
ORD_00045,2024-06-02 20:00,USER_0044,美妆,490,货到付款,退货中,是,杭州
ORD_00046,2024-06-02 21:00,USER_0045,数码,500,支付宝,已签收,否,北京
ORD_00047,2024-06-02 22:00,USER_0046,服饰,510,微信支付,运输中,否,上海
ORD_00048,2024-06-02 23:00,USER_0047,食品,520,信用卡,待发货,否,广州
ORD_00049,2024-06-03 00:00,USER_0048,家居,530,花呗,已取消,是,深圳
ORD_00050,2024-06-03 01:00,USER_0049,美妆,540,货到付款,退货中,否,杭州
ORD_00051,2024-06-03 02:00,USER_0000,数码,550,支付宝,已签收,否,北京
ORD_00052,2024-06-03 03:00,USER_0001,服饰,560,微信支付,运输中,否,上海
ORD_00053,2024-06-03 04:00,USER_0002,食品,570,信用卡,待发货,是,广州
ORD_00054,2024-06-03 05:00,USER_0003,家居,580,花呗,已取消,否,深圳
ORD_00055,2024-06-03 06:00,USER_0004,美妆,590,货到付款,退货中,否,杭州
ORD_00056,2024-06-03 07:00,USER_0005,数码,600,支付宝,已签收,否,北京
ORD_00057,2024-06-03 08:00,USER_0006,服饰,610,微信支付,运输中,是,上海
ORD_00058,2024-06-03 09:00,USER_0007,食品,620,信用卡,待发货,否,广州
ORD_00059,2024-06-03 10:00,USER_0008,家居,630,花呗,已取消,否,深圳
ORD_00060,2024-06-03 11:00,USER_0009,美妆,640,货到付款,退货中,否,杭州
ORD_00061,2024-06-03 12:00,USER_0010,数码,650,支付宝,已签收,是,北京
ORD_00062,2024-06-03 13:00,USER_0011,服饰,660,微信支付,运输中,否,上海
ORD_00063,2024-06-03 14:00,USER_0012,食品,670,信用卡,待发货,否,广州
ORD_00064,2024-06-03 15:00,USER_0013,家居,680,花呗,已取消,否,深圳
ORD_00065,2024-06-03 16:00,USER_0014,美妆,690,货到付款,退货中,是,杭州
ORD_00066,2024-06-03 17:00,USER_0015,数码,700,支付宝,已签收,否,北京
ORD_00067,2024-06-03 18:00,USER_0016,服饰,710,微信支付,运输中,否,上海
ORD_00068,2024-06-03 19:00,USER_0017,食品,720,信用卡,待发货,否,广州
ORD_00069,2024-06-03 20:00,USER_0018,家居,730,花呗,已取消,是,深圳
ORD_00070,2024-06-03 21:00,USER_0019,美妆,740,货到付款,退货中,否,杭州
ORD_00071,2024-06-03 22:00,USER_0020,数码,750,支付宝,已签收,否,北京
ORD_00072,2024-06-03 23:00,USER_0021,服饰,760,微信支付,运输中,否,上海
ORD_00073,2024-06-04 00:00,USER_0022,食品,770,信用卡,待发货,是,广州
ORD_00074,2024-06-04 01:00,USER_0023,家居,780,花呗,已取消,否,深圳
ORD_00075,2024-06-04 02:00,USER_0024,美妆,790,货到付款,退货中,否,杭州
ORD_00076,2024-06-04 03:00,USER_0025,数码,800,支付宝,已签收,否,北京
ORD_00077,2024-06-04 04:00,USER_0026,服饰,810,微信支付,运输中,是,上海
ORD_00078,2024-06-04 05:00,USER_0027,食品,820,信用卡,待发货,否,广州
ORD_00079,2024-06-04 06:00,USER_0028,家居,830,花呗,已取消,否,深圳
ORD_00080,2024-06-04 07:00,USER_0029,美妆,840,货到付款,退货中,否,杭州
ORD_00081,2024-06-04 08:00,USER_0030,数码,850,支付宝,已签收,是,北京
ORD_00082,2024-06-04 09:00,USER_0031,服饰,860,微信支付,运输中,否,上海
ORD_00083,2024-06-04 10:00,USER_0032,食品,870,信用卡,待发货,否,广州
ORD_00084,2024-06-04 11:00,USER_0033,家居,880,花呗,已取消,否,深圳
ORD_00085,2024-06-04 12:00,USER_0034,美妆,890,货到付款,退货中,是,杭州
ORD_00086,2024-06-04 13:00,USER_0035,数码,900,支付宝,已签收,否,北京
ORD_00087,2024-06-04 14:00,USER_0036,服饰,910,微信支付,运输中,否,上海
ORD_00088,2024-06-04 15:00,USER_0037,食品,920,信用卡,待发货,否,广州
ORD_00089,2024-06-04 16:00,USER_0038,家居,930,花呗,已取消,是,深圳
ORD_00090,2024-06-04 17:00,USER_0039,美妆,940,货到付款,退货中,否,杭州
ORD_00091,2024-06-04 18:00,USER_0040,数码,950,支付宝,已签收,否,北京
ORD_00092,2024-06-04 19:00,USER_0041,服饰,960,微信支付,运输中,否,上海
ORD_00093,2024-06-04 20:00,USER_0042,食品,970,信用卡,待发货,是,广州
ORD_00094,2024-06-04 21:00,USER_0043,家居,980,花呗,已取消,否,深圳
ORD_00095,2024-06-04 22:00,USER_0044,美妆,990,货到付款,退货中,否,杭州
ORD_00096,2024-06-04 23:00,USER_0045,数码,1000,支付宝,已签收,否,北京
ORD_00097,2024-06-05 00:00,USER_0046,服饰,1010,微信支付,运输中,是,上海
ORD_00098,2024-06-05 01:00,USER_0047,食品,1020,信用卡,待发货,否,广州
ORD_00099,2024-06-05 02:00,USER_0048,家居,1030,花呗,已取消,否,深圳
ORD_00100,2024-06-05 03:00,USER_0049,美妆,1040,货到付款,退货中,否,杭州
ORD_00101,2024-06-05 04:00,USER_0000,数码,1050,支付宝,已签收,是,北京
ORD_00102,2024-06-05 05:00,USER_0001,服饰,1060,微信支付,运输中,否,上海
ORD_00103,2024-06-05 06:00,USER_0002,食品,1070,信用卡,待发货,否,广州
ORD_00104,2024-06-05 07:00,USER_0003,家居,1080,花呗,已取消,否,深圳
ORD_00105,2024-06-05 08:00,USER_0004,美妆,1090,货到付款,退货中,是,杭州
ORD_00106,2024-06-05 09:00,USER_0005,数码,1100,支付宝,已签收,否,北京
ORD_00107,2024-06-05 10:00,USER_0006,服饰,1110,微信支付,运输中,否,上海
ORD_00108,2024-06-05 11:00,USER_0007,食品,1120,信用卡,待发货,否,广州
ORD_00109,2024-06-05 12:00,USER_0008,家居,1130,花呗,已取消,是,深圳
ORD_00110,2024-06-05 13:00,USER_0009,美妆,1140,货到付款,退货中,否,杭州
ORD_00111,2024-06-05 14:00,USER_0010,数码,1150,支付宝,已签收,否,北京
ORD_00112,2024-06-05 15:00,USER_0011,服饰,1160,微信支付,运输中,否,上海
ORD_00113,2024-06-05 16:00,USER_0012,食品,1170,信用卡,待发货,是,广州
ORD_00114,2024-06-05 17:00,USER_0013,家居,1180,花呗,已取消,否,深圳
ORD_00115,2024-06-05 18:00,USER_0014,美妆,1190,货到付款,退货中,否,杭州
ORD_00116,2024-06-05 19:00,USER_0015,数码,1200,支付宝,已签收,否,北京
ORD_00117,2024-06-05 20:00,USER_0016,服饰,1210,微信支付,运输中,是,上海
ORD_00118,2024-06-05 21:00,USER_0017,食品,1220,信用卡,待发货,否,广州
ORD_00119,2024-06-05 22:00,USER_0018,家居,1230,花呗,已取消,否,深圳
ORD_00120,2024-06-05 23:00,USER_0019,美妆,1240,货到付款,退货中,否,杭州
ORD_00121,2024-06-06 00:00,USER_0020,数码,1250,支付宝,已签收,是,北京
ORD_00122,2024-06-06 01:00,USER_0021,服饰,1260,微信支付,运输中,否,上海
ORD_00123,2024-06-06 02:00,USER_0022,食品,1270,信用卡,待发货,否,广州
ORD_00124,2024-06-06 03:00,USER_0023,家居,1280,花呗,已取消,否,深圳
ORD_00125,2024-06-06 04:00,USER_0024,美妆,1290,货到付款,退货中,是,杭州
ORD_00126,2024-06-06 05:00,USER_0025,数码,1300,支付宝,已签收,否,北京
ORD_00127,2024-06-06 06:00,USER_0026,服饰,1310,微信支付,运输中,否,上海
ORD_00128,2024-06-06 07:00,USER_0027,食品,1320,信用卡,待发货,否,广州
ORD_00129,2024-06-06 08:00,USER_0028,家居,1330,花呗,已取消,是,深圳
ORD_00130,2024-06-06 09:00,USER_0029,美妆,1340,货到付款,退货中,否,杭州
ORD_00131,2024-06-06 10:00,USER_0030,数码,1350,支付宝,已签收,否,北京
ORD_00132,2024-06-06 11:00,USER_0031,服饰,1360,微信支付,运输中,否,上海
ORD_00133,2024-06-06 12:00,USER_0032,食品,1370,信用卡,待发货,是,广州
ORD_00134,2024-06-06 13:00,USER_0033,家居,1380,花呗,已取消,否,深圳
ORD_00135,2024-06-06 14:00,USER_0034,美妆,1390,货到付款,退货中,否,杭州
ORD_00136,2024-06-06 15:00,USER_0035,数码,1400,支付宝,已签收,否,北京
ORD_00137,2024-06-06 16:00,USER_0036,服饰,1410,微信支付,运输中,是,上海
ORD_00138,2024-06-06 17:00,USER_0037,食品,1420,信用卡,待发货,否,广州
ORD_00139,2024-06-06 18:00,USER_0038,家居,1430,花呗,已取消,否,深圳
ORD_00140,2024-06-06 19:00,USER_0039,美妆,1440,货到付款,退货中,否,杭州
ORD_00141,2024-06-06 20:00,USER_0040,数码,1450,支付宝,已签收,是,北京
ORD_00142,2024-06-06 21:00,USER_0041,服饰,1460,微信支付,运输中,否,上海
ORD_00143,2024-06-06 22:00,USER_0042,食品,1470,信用卡,待发货,否,广州
ORD_00144,2024-06-06 23:00,USER_0043,家居,1480,花呗,已取消,否,深圳
ORD_00145,2024-06-07 00:00,USER_0044,美妆,1490,货到付款,退货中,是,杭州
ORD_00146,2024-06-07 01:00,USER_0045,数码,1500,支付宝,已签收,否,北京
ORD_00147,2024-06-07 02:00,USER_0046,服饰,1510,微信支付,运输中,否,上海
ORD_00148,2024-06-07 03:00,USER_0047,食品,1520,信用卡,待发货,否,广州
ORD_00149,2024-06-07 04:00,USER_0048,家居,1530,花呗,已取消,是,深圳
ORD_00150,2024-06-07 05:00,USER_0049,美妆,1540,货到付款,退货中,否,杭州
